40
Symbol,Volume
MMM,13619320.0
AOS,4074007.0
ABT,25982899.0
ABBV,30652509.0
ACN,45327704.0
ADBE,24161690.0
AMD,221825931.0
AES,42843681.0
AFL,12571265.0
A,6914425.0
APD,8106332.0
ABNB,24715805.0
AKAM,8938601.0
ALB,21139190.0
ARE,6556172.0
ALGN,6137176.0
ALLE,3975786.0
LNT,10628437.0
ALL,7571310.0
GOOGL,155122494.0
GOOG,105114708.0
MO,37561700.0
AMZN,301856998.0
AMCR,153624030.0
AMTM,8375931.0
AEE,7530646.0
AEP,18091448.0
AXP,13972715.0
AIG,23062348.0
AMT,16936378.0
AWK,6977055.0
AMP,2949082.0
AME,5901043.0
AMGN,14193792.0
APH,52570269.0
ADI,14439951.0
AON,6719804.0
APA,50149824.0
AAPL,355420358.0
AMAT,55003217.0
APTV,10436555.0
ACGL,13190342.0
ADM,24161839.0
ANET,39958191.0
AJG,7094180.0
AIZ,2340951.0
T,159504856.0
ATO,4162515.0
ADSK,6975583.0
ADP,12833029.0
AZO,956710.0
AVB,5213231.0
AVY,2986047.0
AXON,3908453.0
BKR,45240770.0
BALL,14075592.0
BAC,145376742.0
BAX,42887550.0
BDX,7917597.0
BBY,19188008.0
TECH,12635951.0
BIIB,8472323.0
BLK,2686030.0
BX,17195007.0
BK,13927597.0
BA,67823141.0
BKNG,1115481.0
BWA,8731520.0
BSX,65512966.0
BMY,95973697.0
AVGO,122876897.0
BR,3334890.0
BRO,13805813.0
BLDR,10728019.0
BG,11758131.0
BXP,16013852.0
CHRW,10824721.0
CDNS,9323935.0
CZR,54608706.0
CPT,4315747.0
CPB,27838707.0
COF,16019055.0
CAH,15403981.0
KMX,60248387.0
CCL,123691434.0
CARR,29726445.0
CAT,17450398.0
CBOE,5310364.0
CBRE,8288184.0
CDW,9607516.0
CE,13658222.0
COR,9098187.0
CNC,75986834.0
CNP,35356631.0
CF,18731539.0
CRL,5620120.0
SCHW,46871263.0
CHTR,12809234.0
CVX,38794358.0
CMG,116623913.0
CB,8395082.0
CHD,13781040.0
CI,8331119.0
CINF,2002702.0
CTAS,14790068.0
CSCO,112575808.0
C,73233400.0
CFG,23041945.0
CLX,10856223.0
CME,9083945.0
CMS,15068036.0
KO,93113088.0
CTSH,25976144.0
CL,32257204.0
CMCSA,136103747.0
CAG,66211047.0
COP,43457359.0
ED,10897103.0
STZ,15764706.0
CEG,12112116.0
COO,18232520.0
CPRT,46693983.0
GLW,42100775.0
CPAY,2593072.0
CTVA,25205420.0
CSGP,18299605.0
COST,20810469.0
CTRA,49318381.0
CRWD,15761560.0
CCI,15474283.0
CSX,110592709.0
CMI,4735514.0
CVS,36681180.0
DHI,17217595.0
DHR,28386124.0
DRI,9093870.0
DVA,3390180.0
DAY,20765135.0
DECK,14134690.0
DE,7208987.0
DELL,30802160.0
DAL,36933433.0
DVN,44263866.0
DXCM,45772117.0
FANG,11158135.0
DLR,7008478.0
DG,17625727.0
DLTR,22048663.0
D,24509944.0
DPZ,4705513.0
DOV,6134867.0
DOW,77504491.0
DTE,5424621.0
DUK,13374993.0
DD,20120969.0
EMN,8134735.0
ETN,12483208.0
EBAY,33570439.0
ECL,9149323.0
EIX,17141804.0
EW,27857999.0
EA,38999478.0
ELV,9965128.0
EMR,23804064.0
ENPH,41076110.0
ETR,14705859.0
EOG,22095780.0
EPAM,4957998.0
EQT,64101773.0
EFX,4298745.0
EQIX,2727181.0
EQR,12704135.0
ERIE,765237.0
ESS,1914367.0
EL,14763317.0
EG,2075814.0
EVRG,15763258.0
ES,23074074.0
EXC,33340685.0
EXPE,8545156.0
EXPD,6095150.0
EXR,5387334.0
XOM,104013940.0
FFIV,2051643.0
FDS,5081839.0
FICO,1169699.0
FAST,30490403.0
FRT,2984512.0
FDX,14782265.0
FIS,28141820.0
FITB,21982783.0
FSLR,13803606.0
FE,31203841.0
FI,32122855.0
FMC,13411373.0
F,473659482.0
FTNT,30300783.0
FTV,15654643.0
FOXA,24253504.0
FOX,19201156.0
BEN,21098937.0
FCX,287363731.0
GRMN,3499839.0
IT,8950444.0
GE,25613377.0
GEHC,18994939.0
GEV,13272301.0
GEN,17522416.0
GNRC,8342699.0
GD,6733641.0
GIS,37389248.0
GM,49308647.0
GPC,6101938.0
GILD,38269603.0
GPN,14475548.0
GL,2688418.0
GDDY,7598549.0
GS,8242934.0
HAL,116355384.0
HIG,7491990.0
HAS,8927719.0
HCA,5637290.0
DOC,41980681.0
HSIC,6955263.0
HSY,7438595.0
HPE,151151646.0
HLT,11561396.0
HOLX,9921586.0
HD,14992533.0
HON,28376783.0
HRL,21375821.0
HST,43872465.0
HWM,11748207.0
HPQ,49624894.0
HUBB,3132826.0
HUM,9641681.0
HBAN,150036510.0
HII,2959752.0
IBM,42270944.0
IEX,3482606.0
IDXX,2271153.0
ITW,3786909.0
INCY,8606809.0
IR,20543992.0
PODD,3343706.0
INTC,1253374978.0
ICE,18022392.0
IFF,11698317.0
IP,15737326.0
IPG,30996183.0
INTU,11040238.0
ISRG,14342082.0
IVZ,25112497.0
INVH,27382556.0
IQV,5937701.0
IRM,8367453.0
JBHT,9061660.0
SJM,13395963.0
JBL,13611425.0
JKHY,6166642.0
J,3066634.0
JNJ,45972286.0
JCI,24165061.0
JPM,45011192.0
K,18212466.0
KVUE,356312342.0
KDP,122519493.0
KEY,134928459.0
KEYS,5987296.0
KMB,15205769.0
KIM,19288073.0
KMI,76066135.0
KKR,28028644.0
KLAC,4439537.0
KHC,86372489.0
KR,39193779.0
LHX,5782049.0
LH,2510646.0
LRCX,65088293.0
LW,9581395.0
LVS,23352437.0
LDOS,4778353.0
LEN,22040611.0
LLY,19929117.0
LIN,9094501.0
LYV,11591213.0
LKQ,13856042.0
LMT,6848540.0
L,4878292.0
LOW,15776314.0
LULU,31962455.0
LYB,31817422.0
MTB,5642785.0
MPC,10993722.0
MKTX,3855787.0
MAR,7602982.0
MMC,13265080.0
MLM,1775713.0
MAS,14110688.0
MA,15703374.0
MTCH,24502813.0
MKC,17135370.0
MCD,15724487.0
MCK,5818195.0
MDT,42461248.0
MRK,76255131.0
META,61379938.0
MET,21688077.0
MTD,808706.0
MGM,28098800.0
MCHP,31402184.0
MU,206543453.0
MSFT,101542929.0
MAA,4355513.0
MRNA,63594748.0
MHK,3492394.0
MOH,7222474.0
TAP,18462278.0
MDLZ,39514755.0
MPWR,2136299.0
MNST,22182820.0
MCO,4483632.0
MS,29447409.0
MOS,27704608.0
MSI,4556709.0
MSCI,3722119.0
NDAQ,20299541.0
NTAP,10130714.0
NFLX,13705857.0
NEM,66123227.0
NWSA,17778702.0
NWS,9152585.0
NEE,56816993.0
NKE,75429874.0
NI,33337339.0
NDSN,1470162.0
NSC,11416816.0
NTRS,6459114.0
NOC,4000028.0
NCLH,61814534.0
NRG,13899899.0
NUE,9635570.0
NVDA,1094227732.0
NVR,88802.0
NXPI,10078688.0
ORLY,26772076.0
OXY,53118530.0
ODFL,15012688.0
OMC,15178708.0
ON,40730778.0
OKE,21783309.0
ORCL,202849585.0
OTIS,12514608.0
PCAR,21589422.0
PKG,3019737.0
PLTR,314448394.0
PANW,35567953.0
PARA,61207586.0
PH,2289935.0
PAYX,22033553.0
PAYC,3593415.0
PYPL,60546904.0
PNR,4851632.0
PEP,37652993.0
PFE,265405415.0
PCG,116659053.0
PM,27459908.0
PSX,20563397.0
PNW,6337336.0
PNC,7041081.0
POOL,2687717.0
PPG,11450388.0
PPL,22895682.0
PFG,5740394.0
PG,42999933.0
PGR,16732223.0
PLD,15454447.0
PRU,7510725.0
PTC,4072731.0
PEG,13540040.0
PSA,5582849.0
PHM,9244889.0
