42
Symbol,Volume
MMM,15714881.0
AOS,6088716.0
ABT,32762003.0
ABBV,39091354.0
ACN,28480311.0
ADBE,23345497.0
AMD,855168836.0
AES,64930851.0
AFL,9666838.0
A,9450483.0
APD,5369969.0
ABNB,27918760.0
AKAM,8437799.0
ALB,22300299.0
ARE,16639777.0
ALGN,8480131.0
ALLE,4449248.0
LNT,11447804.0
ALL,6415057.0
GOOGL,167529123.0
GOOG,110462083.0
MO,56180281.0
AMZN,312317711.0
AMCR,109317139.0
AMTM,10561268.0
AEE,12683268.0
AEP,23828417.0
AXP,13026782.0
AIG,28655360.0
AMT,17076012.0
AWK,8338374.0
AMP,2666090.0
AME,6976994.0
AMGN,13063554.0
APH,35026282.0
ADI,23268812.0
AON,5023608.0
APA,40868450.0
AAPL,275220298.0
AMAT,58655761.0
APTV,11163947.0
ACGL,10302062.0
ADM,23344250.0
ANET,55190872.0
AJG,5684998.0
AIZ,1648900.0
T,247046251.0
ATO,4008307.0
ADSK,8785204.0
ADP,11039139.0
AZO,849491.0
AVB,4158384.0
AVY,3633037.0
AXON,2732964.0
BKR,36636721.0
BALL,15373791.0
BAC,155484158.0
BAX,32574422.0
BDX,6426684.0
BBY,20196300.0
TECH,12295317.0
BIIB,9573590.0
BLK,3364884.0
BX,23191635.0
BK,19186790.0
BA,54310360.0
BKNG,1524037.0
BWA,13797718.0
BSX,45585416.0
BMY,82852383.0
AVGO,133450911.0
BR,3157265.0
BRO,16876390.0
BLDR,10412279.0
BG,8400097.0
BXP,10006004.0
CHRW,9574201.0
CDNS,9216804.0
CZR,59733708.0
CPT,4698359.0
CPB,33491719.0
COF,19556537.0
CAH,8822443.0
KMX,23873632.0
CCL,108687163.0
CARR,36712998.0
CAT,18807602.0
CBOE,3852317.0
CBRE,7051017.0
CDW,7292909.0
CE,10737414.0
COR,6309716.0
CNC,64413357.0
CNP,23690370.0
CF,11815448.0
CRL,5009387.0
SCHW,44600894.0
CHTR,9689121.0
CVX,37690133.0
CMG,92134853.0
CB,7368322.0
CHD,11929534.0
CI,7133269.0
CINF,3291837.0
CTAS,14355616.0
CSCO,135810107.0
C,75687474.0
CFG,34268249.0
CLX,9399879.0
CME,12499653.0
CMS,14515960.0
KO,88824689.0
CTSH,22247340.0
CL,37469148.0
CMCSA,150133241.0
CAG,68987130.0
COP,35442271.0
ED,10996664.0
STZ,22876480.0
CEG,16703465.0
COO,13081897.0
CPRT,40460285.0
GLW,41807903.0
CPAY,2248093.0
CTVA,24612792.0
CSGP,19476782.0
COST,17501739.0
CTRA,82442218.0
CRWD,16904712.0
CCI,16708428.0
CSX,90640229.0
CMI,4108291.0
CVS,38136231.0
DHI,26321348.0
DHR,22689080.0
DRI,6443806.0
DVA,3949584.0
DAY,16169216.0
DECK,18208286.0
DE,7456620.0
DELL,84014761.0
DAL,88413007.0
DVN,52187329.0
DXCM,25930218.0
FANG,11006981.0
DLR,8493136.0
DG,18816254.0
DLTR,33069797.0
D,32812801.0
DPZ,4436510.0
DOV,6508476.0
DOW,90471870.0
DTE,6100145.0
DUK,14843454.0
DD,18691736.0
EMN,8026161.0
ETN,12027142.0
EBAY,28557963.0
ECL,6056816.0
EIX,21920968.0
EW,22173454.0
EA,23228247.0
ELV,10165669.0
EMR,13333262.0
ENPH,47286959.0
ETR,20297398.0
EOG,24602135.0
EPAM,2917667.0
EQT,41403149.0
EFX,6714091.0
EQIX,2451694.0
EQR,9653008.0
ERIE,646413.0
ESS,2161453.0
EL,19130123.0
EG,1759738.0
EVRG,12433920.0
ES,13653371.0
EXC,34816599.0
EXPE,10539203.0
EXPD,7854279.0
EXR,6122772.0
XOM,74838719.0
FFIV,3325254.0
FDS,5882823.0
FICO,2498314.0
FAST,39084438.0
FRT,2523051.0
FDX,11140573.0
FIS,19976213.0
FITB,100982258.0
FSLR,10452578.0
FE,29629252.0
FI,25731023.0
FMC,15531886.0
F,558034955.0
FTNT,26916197.0
FTV,13168275.0
FOXA,15986056.0
FOX,7369913.0
BEN,38439882.0
FCX,143872268.0
GRMN,4058935.0
IT,6358105.0
GE,19038247.0
GEHC,22730346.0
GEV,14730843.0
GEN,19391350.0
GNRC,6945140.0
GD,5051425.0
GIS,32172372.0
GM,41400295.0
GPC,5748739.0
GILD,45142218.0
GPN,10903246.0
GL,4028457.0
GDDY,8717781.0
GS,11289012.0
HAL,60147942.0
HIG,8413184.0
HAS,8342021.0
HCA,8219935.0
DOC,58720769.0
HSIC,7936531.0
HSY,7130508.0
HPE,158490175.0
HLT,11880017.0
HOLX,7820668.0
HD,17319553.0
HON,26221128.0
HRL,30126075.0
HST,38975253.0
HWM,8673422.0
HPQ,82705004.0
HUBB,2890070.0
HUM,10282349.0
HBAN,212252073.0
HII,2062755.0
IBM,28322671.0
IEX,3482002.0
IDXX,2295174.0
ITW,6990401.0
INCY,9306110.0
IR,17511821.0
PODD,3136693.0
INTC,780229896.0
ICE,26320746.0
IFF,16287649.0
IP,30032023.0
IPG,36708376.0
INTU,13312479.0
ISRG,13290152.0
IVZ,27152235.0
INVH,33784964.0
IQV,8759164.0
IRM,7332517.0
JBHT,9070253.0
SJM,6847733.0
JBL,7338751.0
JKHY,7556106.0
J,4966332.0
JNJ,45264393.0
JCI,19564078.0
JPM,44496141.0
K,17610995.0
KVUE,153670707.0
KDP,94948290.0
KEY,165059869.0
KEYS,6487880.0
KMB,11761699.0
KIM,27376381.0
KMI,77357717.0
KKR,27786807.0
KLAC,7698202.0
KHC,72742263.0
KR,39640046.0
LHX,6908210.0
LH,3278043.0
LRCX,87044264.0
LW,13355162.0
LVS,33019444.0
LDOS,4535187.0
LEN,28891100.0
LLY,17706597.0
LIN,9605064.0
LYV,19410521.0
LKQ,13627608.0
LMT,6784297.0
L,4163224.0
LOW,14038034.0
LULU,30655589.0
LYB,28297550.0
MTB,6266973.0
MPC,9019129.0
MKTX,5745481.0
MAR,9970608.0
MMC,14851989.0
MLM,1683033.0
MAS,11024807.0
MA,16246499.0
MTCH,23991948.0
MKC,23086765.0
MCD,18843198.0
MCK,3289236.0
MDT,38181687.0
MRK,61736743.0
META,91092791.0
MET,14841945.0
MTD,761903.0
MGM,32244410.0
MCHP,47551347.0
MU,164589953.0
MSFT,115910040.0
MAA,3790934.0
MRNA,53778784.0
MHK,3367580.0
MOH,5414288.0
TAP,13184819.0
MDLZ,43438779.0
MPWR,3749925.0
MNST,33628553.0
MCO,5239301.0
MS,30456663.0
MOS,40922523.0
MSI,4275082.0
MSCI,2502246.0
NDAQ,19630737.0
NTAP,14419692.0
NFLX,20376076.0
NEM,56863545.0
NWSA,20796208.0
NWS,5901166.0
NEE,70863960.0
NKE,95177611.0
NI,23053606.0
NDSN,1863626.0
NSC,6653114.0
NTRS,7184506.0
NOC,4547489.0
NCLH,70490520.0
NRG,13302351.0
NUE,7775783.0
NVDA,1146240959.0
NVR,135934.0
NXPI,17645061.0
ORLY,26452885.0
OXY,73447406.0
ODFL,11505267.0
OMC,26968327.0
ON,58141729.0
OKE,19831775.0
ORCL,146426813.0
OTIS,11106421.0
PCAR,14387576.0
PKG,3515426.0
PLTR,301840234.0
PANW,32782845.0
PH,3029386.0
PAYX,15394278.0
PAYC,3990051.0
PYPL,126986859.0
PNR,6957450.0
PEP,69879964.0
PFE,335377273.0
PCG,171663579.0
PM,37467674.0
PSX,10791260.0
PNW,5881016.0
PNC,11754665.0
POOL,2994762.0
PPG,9593301.0
PPL,25458222.0
PFG,5750698.0
PG,38122119.0
PGR,16404464.0
PLD,15250071.0
PRU,8886525.0
PTC,3744266.0
PEG,18785496.0
PSA,4206777.0
PHM,16904871.0
QRVO,6715516.0
QCOM,61244349.0
PWR,8652480.0
DGX,4712576.0
RL,2818621.0
RJF,5993602.0
O,27259210.0
REG,4712249.0
REGN,6987128.0
RF,132522280.0
RSG,7564313.0
RMD,4433376.0
RVTY,6959208.0
ROK,4372990.0
ROL,10450581.0
ROP,7039327.0
ROST,12452158.0
RCL,8692159.0
RTX,33081741.0
SPGI,11383401.0
CRM,51678787.0
SBAC,5433863.0
SLB,92980441.0
STX,34231186.0
SRE,24325804.0
NOW,7142295.0
SHW,12147965.0
SPG,8651754.0
